date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2025-07-28,3481,55206653,645790895,11.55,11.85,11.5,11.7,0.1,9524
2025-07-25,3481,36342155,419520903,11.45,11.6,11.4,11.6,0.1,7126
2025-07-24,3481,48597210,555058646,11.45,11.55,11.25,11.5,0.05,9980
2025-07-23,3481,75972312,860774508,11.1,11.5,11.05,11.45,0.45,12616
2025-07-22,3481,80524769,894367274,11.3,11.3,11.0,11.0,-0.2,14897
2025-07-21,3481,53949658,606346881,11.25,11.35,11.2,11.2,-0.05,7188
2025-07-18,3481,55607735,631134665,11.4,11.5,11.25,11.25,-0.1,8990
2025-07-17,3481,76705595,867830267,11.25,11.4,11.2,11.35,0.15,10517
2025-07-16,3481,65044707,731372064,11.25,11.35,11.1,11.2,0.0,11892
2025-07-15,3481,43544572,491036461,11.35,11.45,11.2,11.2,-0.15,9097
2025-07-14,3481,25706077,292218761,11.45,11.45,11.3,11.35,-0.1,5393
2025-07-11,3481,37402911,428167229,11.4,11.6,11.3,11.45,0.05,7520
2025-07-10,3481,28189121,324348074,11.75,11.75,11.4,11.4,-0.25,7170
2025-07-09,3481,33487593,386890098,11.5,11.65,11.4,11.65,0.15,7469
2025-07-08,3481,39469812,455385540,11.6,11.75,11.45,11.5,-0.2,9914
2025-07-07,3481,27073348,316194990,11.85,11.85,11.55,11.7,-0.15,5789
2025-07-04,3481,32328815,385271335,12.0,12.1,11.8,11.85,-0.1,6860
2025-07-03,3481,48266502,575376649,11.8,12.0,11.7,11.95,0.25,9354
2025-07-02,3481,25883991,302874746,11.65,11.8,11.65,11.7,0.05,5221
2025-07-01,3481,36634427,429337208,11.65,11.9,11.55,11.65,-0.05,8464
2025-06-30,3481,45854694,538914311,12.0,12.0,11.7,11.7,-0.3,10386
2025-06-27,3481,100746842,1212615653,12.1,12.3,11.85,12.0,0.4,21694
2025-06-26,3481,54739606,638186535,11.5,11.85,11.45,11.6,0.2,10714
2025-06-25,3481,36965955,421336245,11.5,11.55,11.35,11.4,-0.05,8650
2025-06-24,3481,35335181,405384675,11.45,11.55,11.35,11.45,0.1,7727
2025-06-23,3481,47562512,537726019,11.35,11.4,11.2,11.35,-0.2,11496
2025-06-20,3481,61532334,716064641,11.85,11.95,11.55,11.55,-0.3,13101
2025-06-19,3481,39851754,474895426,12.1,12.15,11.85,11.85,-0.2,11325
2025-06-18,3481,23999913,290100732,12.0,12.15,12.0,12.05,0.05,7144
2025-06-17,3481,24899757,299963023,12.15,12.15,12.0,12.0,-0.05,7302
2025-06-16,3481,26573087,319934908,12.1,12.1,11.95,12.05,-0.1,6341
2025-06-13,3481,38727823,469523937,12.05,12.2,12.0,12.15,0.05,8172
2025-06-12,3481,24428340,296250482,12.15,12.2,12.05,12.1,0.0,4451
2025-06-11,3481,27980570,339627027,12.15,12.2,12.1,12.1,0.05,6936
2025-06-10,3481,39701433,479287792,11.95,12.15,11.9,12.05,0.15,7914
2025-06-09,3481,41624958,496589559,12.2,12.2,11.85,11.9,-0.2,10020
2025-06-06,3481,41614734,506613832,12.1,12.3,12.05,12.1,0.0,8360
